ID	Trace Variant (tv) Count	Activities Count	tv Sum	tv Min Size	tv Max Size	tv Average Size	tv Median Size
e3f0e972-2459-40a5-9358-129d1470fdec	100	13	1666	9	39	16	15
58db4e79-15b1-4e28-b311-3aeab740a77e	100	13	1666	9	39	16	15
ee2059c0-1065-4720-9aff-81c035ec2532	100	13	1666	9	39	16	15
a292a07d-6b6d-4f55-a159-8e74680fd04b	100	13	1666	9	39	16	15
9b12efdf-8ce0-4a8b-9d09-c81f391fefcc	251734	42	1595923	1	990	6	5
951c3fd2-5fc6-48bc-9c84-97aaa89d41aa	647	14	2763	2	28	4	3
cc2c2b1e-1d89-4a04-afa8-ea26ec3225f6	647	14	2763	2	28	4	3
65c06063-6de6-4569-976a-eea7de25529e	647	14	2763	2	28	4	3
95d7d217-66af-4460-aa9c-07aa892f936b	647	14	2763	2	28	4	3
717e7e89-a11a-4168-b80c-3185f91232e3	647	14	2763	2	28	4	3
68d49c85-0190-46f7-98f7-da48f9e99f98	647	14	2763	2	28	4	3
96bbee67-dc6c-49e0-9444-b89cbd9712ce	647	14	2763	2	28	4	3
027f134a-3ccc-449e-b26c-f9a121b7b7ed	647	14	2763	2	28	4	3
8ba7a12b-7b00-4715-b095-d37a18a9a5b8	647	14	2763	2	28	4	3
b70d8ea7-1fa8-4680-8426-23d2c1b5ad92	647	14	2763	2	28	4	3
71074e68-81d7-475e-bec5-977229792154	647	14	2763	2	28	4	3
6d056f42-2be7-4132-a53c-150199f30c63	647	14	2763	2	28	4	3
ff23e995-aff8-4069-b948-e7d49fbd3564	647	14	2763	2	28	4	3
a6219e99-196e-42c9-9bb4-34fe708b22c8	647	14	2763	2	28	4	3
fad05a3d-81ad-4a5e-ab5c-63e60f06240d	647	14	2763	2	28	4	3
b60aa074-d806-45ee-9b4a-0d4e762998ec	647	14	2763	2	28	4	3
300fe81d-f0b6-4416-9df4-996831525cf5	647	14	2763	2	28	4	3
9be63f40-d147-4747-be33-33c6105b2e18	647	14	2763	2	28	4	3
9d878f2d-29fd-468d-9314-ad988ea07700	2	7	45	20	25	22	22
71bb922b-d582-4568-b833-662079597107	647	14	2763	2	28	4	3
6e254177-76f7-436f-9ab7-3541c26d5680	647	14	2763	2	28	4	3
d705175a-0ac4-4ee5-8d0f-d55c21b7239c	647	14	2763	2	28	4	3
b00abc24-7b07-493e-b691-cf3fe1642403	647	14	2763	2	28	4	3
aa1caed4-bf96-433a-81b1-141ee69c0ad8	647	14	2763	2	28	4	3
3df070ab-84e2-4bce-98b3-34002f487322	647	14	2763	2	28	4	3
5eceab51-a22d-4314-81d3-8f3f1498ef52	647	14	2763	2	28	4	3
dda8c270-9224-4711-9d5b-3457b539ee58	647	14	2763	2	28	4	3
95d1e8c3-01b8-4139-9c66-fa0e16e712f0	647	14	2763	2	28	4	3
8bf7274b-76cf-4f2b-8247-069477235447	647	14	2763	2	28	4	3
66380ac2-399e-4ef2-991a-b437221f3af6	150370	13	862210	4	22	5	7
32a7dd9d-f3b0-4937-a73b-080a69fd25d6	150370	13	862210	4	22	5	7
cb06b857-8bb9-45de-8f44-bcdf7cca7c07	150370	13	862210	4	22	5	7
bc6548e1-c548-4e0d-8ec1-52859d61e405	150370	13	862210	4	22	5	7
df24cb64-786e-4d57-97e7-5006f3cf26f1	150370	13	862210	4	22	5	7
2ca7b305-eb64-4f1a-973f-4c4f32d9665b	150370	13	862210	4	22	5	7
ebbbb627-e3a8-45ff-a6a9-2902ec95dfec	150370	13	862210	4	22	5	7
278293d1-d84f-4faa-a4ec-385820a4e363	150370	13	862210	4	22	5	7
6928c4f7-03d2-480c-a29c-a4219d9dca10	150370	13	862210	4	22	5	7
eb9967a4-62aa-4f3e-bae3-40d965e82cb6	150370	13	862210	4	22	5	7
b34810bc-1c2d-45a4-b724-41912d899f70	150370	13	862210	4	22	5	7
0ff2d6d5-32b7-4a97-bcb7-8183c188b79b	150370	13	862210	4	22	5	7
8aa7070a-b201-404b-9e3c-1ed114673fe9	150370	13	862210	4	22	5	7
fcbd363b-8832-47d4-a4d4-55eca9ea56fb	150370	13	862210	4	22	5	7
e19287ca-3831-4bbe-ad6f-979bb3146320	150370	13	862210	4	22	5	7
739c2999-6835-4298-931e-45047e1f9151	150370	13	862210	4	22	5	7
3c550d12-da36-4d2a-b3fc-fab445baa726	150370	13	862210	4	22	5	7
7732eb87-1f3c-4fd1-878b-262bccb80dcf	150370	13	862210	4	22	5	7
082971be-e210-4d90-b2cd-f253e256a6c7	150370	13	862210	4	22	5	7
e362e1dc-5f6e-449a-a629-be6b1cb94f01	150370	13	862210	4	22	5	7
ba4ae5d3-69d6-4c3d-9487-8d829ac58423	150370	13	862210	4	22	5	7
bd651ed5-5179-4ea6-b0b3-dcfa4dc78ccb	150370	13	862210	4	22	5	7
a7403c2e-82ce-4d00-a974-1940153873f3	150370	13	862210	4	22	5	7
e378eb44-1380-4fa9-b5a4-8c273e9da8e1	150370	13	862210	4	22	5	7
b9c4a744-b2e3-46ca-a54b-e81a2a3c6f42	150370	13	862210	4	22	5	7
7be00508-92b6-4bce-9aa9-441ac839a479	150370	13	862210	4	22	5	7
1251899e-45fc-40e9-8925-d7df5f7c5060	150370	13	862210	4	22	5	7
2493fa7c-db0d-4312-880c-35740b57852f	150370	13	862210	4	22	5	7
a8141ca0-11c0-4a6f-8728-57611c8b7e8e	150370	13	862210	4	22	5	7
201590fb-628a-4cb2-aab9-e8605b46309a	150370	13	862210	4	22	5	7
d6077b2a-f75c-4d7c-9268-5da8e1c96567	150370	13	862210	4	22	5	7
f5f60b64-d6f9-4d8b-a211-6575f70819b5	150370	13	862210	4	22	5	7
1476fb65-44ab-4e46-91bf-801d14adb271	150370	13	862210	4	22	5	7
d484a8d6-9094-4b4d-b363-c71ef538e87d	150370	13	862210	4	22	5	7
dcdac0c8-7d6a-472d-8671-f0c9bcd69be2	150370	13	862210	4	22	5	7
3cbf7659-7db9-4c97-807c-efda8172fa31	150370	13	862210	4	22	5	7
381f1e51-dcd1-4ec6-afb9-2f8924639f02	150370	13	862210	4	22	5	7
0275df16-7fd5-4687-bdea-a899e722e530	150370	13	862210	4	22	5	7
784e4081-d5cc-41c0-a34d-0649ca3616d8	150370	13	862210	4	22	5	7
d0cf7135-05b7-41cb-ba92-ac21f808ff13	150370	13	862210	4	22	5	7
70112dc8-4d4a-424e-933d-a04b0d853176	150370	13	862210	4	22	5	7
1f7bf12f-5695-47b6-a1f7-8fe1639cd645	150370	13	862210	4	22	5	7
94d928a4-ed68-4f2f-930b-6f2c5bf92d72	150370	13	862210	4	22	5	7
95c5cfa9-ce9b-4d4f-8c42-cc8f46c5dc7e	150370	13	862210	4	22	5	7
4b6a3231-f83e-4ce2-8a13-3869d220a6cc	150370	13	862210	4	22	5	7
5e4967e9-f22a-431e-b607-8fe64a8ed079	150370	13	862210	4	22	5	7
d392c209-f30c-4a02-8054-1a062e86a4ba	150370	13	862210	4	22	5	7
eea52344-ced9-423a-8d0d-2f19657f5dff	150370	13	862210	4	22	5	7
1cfd003d-b105-48ea-adfa-512342861a0a	150370	13	862210	4	22	5	7
ca51f5ab-39e3-4cd5-8055-0eb5210823c1	150370	13	862210	4	22	5	7
cb2f181f-23f5-474f-b9f7-27a19a5a09c2	150370	13	862210	4	22	5	7
8d93ba29-0738-419a-b2fc-39849d8bf89f	150370	13	862210	4	22	5	7
76a2e97a-be87-47b5-b055-cdbd03ce22e1	150370	13	862210	4	22	5	7
fc1b5384-a5a5-4874-9f73-8b3d62f4c772	150370	13	862210	4	22	5	7
1451d155-fd0d-4ef4-8db1-81df995c37f8	150370	13	862210	4	22	5	7
e53f256a-ff84-42d8-a8bd-8f54baf21530	150370	13	862210	4	22	5	7
f14baf54-59cf-488c-8c42-007de8d97751	150370	13	862210	4	22	5	7
ee8ec941-bc12-454e-b70c-807bef4b6110	150370	13	862210	4	22	5	7
e8fbe82b-22c7-493c-96fa-1b8c02ad214e	150370	13	862210	4	22	5	7
06a2b40f-1a40-4620-87cf-e29e88d9b82b	150370	13	862210	4	22	5	7
52df6c98-b61c-4f7b-9b8d-0eb7bda11b5b	150370	13	862210	4	22	5	7
86b85a42-11c3-4125-92da-8c78e2e6b470	150370	13	862210	4	22	5	7
562de8a5-e93e-4f78-a71e-4a477455e607	150370	13	862210	4	22	5	7
92fdc40c-6f3e-4332-a513-32d3d217c23d	150370	13	862210	4	22	5	7
519afb73-0bf5-426e-8a0e-f6a1efbc3d4a	150370	13	862210	4	22	5	7
d2122190-c75c-4cfe-98e8-8ab55f1f6a10	150370	13	862210	4	22	5	7
e66d6ab9-6b93-452b-b502-1ad2a2a7225a	150370	13	862210	4	22	5	7
aa2dffe4-a717-40c4-a06e-9dd40f60d649	150370	13	862210	4	22	5	7
dcc69d13-8872-4aa6-9bdc-d21bc08116c3	4580	12	30500	4	17	6	6
15778c5f-a8ca-49e9-8181-54ee4aac9ef2	4580	12	30500	4	17	6	6
383e225d-8bc1-4f63-8520-0a1d4ffa9540	4580	12	30500	4	17	6	6
53aab3ef-bb57-4700-b7ed-991597e5a5ff	4580	12	30500	4	17	6	6
ca529cdc-aca4-43ec-9c7d-c0dbb7a09707	4580	12	30500	4	17	6	6
3b9b7cc1-ec4c-4d16-8ad1-b58549d7c678	4580	12	30500	4	17	6	6
bf26c5f9-85df-4306-b635-c7c6e9a32bec	4580	12	30500	4	17	6	6
50ac6525-7461-424d-8491-29afaa3def76	4580	12	30500	4	17	6	6
b4b1962e-331b-4701-8e62-e4a1127c8faf	4580	12	30500	4	17	6	6
376a0199-3c0e-4012-bf85-4c46cf274c23	4580	12	30500	4	17	6	6
76b4a9ff-498e-4bc1-b62f-4ce79ee76ae0	4580	12	30500	4	17	6	6
e36d88c7-b400-4d2a-8725-92529ac414c3	4580	12	30500	4	17	6	6
5cb831fb-5318-4164-b927-b141cccb87ad	4580	12	30500	4	17	6	6
f68de36e-cc47-4d69-bf83-ede5ed41c2da	4580	12	30500	4	17	6	6
5a09553b-e0cd-4e6b-acc9-9542cc020cb5	4580	12	30500	4	17	6	6
82669926-74ee-4244-a04f-53d41dc07e1a	4580	12	30500	4	17	6	6
1904aad9-404a-442a-b756-569c69d1c12e	4580	12	30500	4	17	6	6
5a58ccc6-bac2-4c71-9a21-538e167f8b89	4580	12	30500	4	17	6	6
b2ddf95b-82e2-4f73-98fc-96507222e139	4580	12	30500	4	17	6	6
79f6cf6a-ed3f-472f-9ac6-eb03a8566b59	4580	12	30500	4	17	6	6
b29097b1-cbf9-4f4d-8987-6c84e529cc69	4580	12	30500	4	17	6	6
1701e27d-5a70-4f83-aaca-173bb6872657	4580	12	30500	4	17	6	6
35a345cd-6c4e-46b7-a4d6-8b5ac3623a9a	4580	12	30500	4	17	6	6
49060fa0-cebe-4373-a027-5a77adb73977	4580	12	30500	4	17	6	6
5d11d5be-2832-4e58-b009-20b35dbd15a1	4580	12	30500	4	17	6	6
ba0f8a30-cdbf-4ead-a5df-ad41a9a64817	4580	12	30500	4	17	6	6
2acdae9f-087b-45f2-ac19-b75dd9177844	4580	12	30500	4	17	6	6
d1bfd7d2-f88d-48ef-8435-c940915990b4	4580	12	30500	4	17	6	6
554e32af-64f6-426b-97d7-8f2df48c2f87	4580	12	30500	4	17	6	6
f759dada-21ab-4366-82d0-71957d270896	4580	12	30500	4	17	6	6
736f8c6a-08ee-4baa-9f68-a4978d9383d9	4580	12	30500	4	17	6	6
d76e1a6b-0528-48ac-b050-2184952802ab	4580	12	30500	4	17	6	6
572f16a8-7b01-457c-9cb1-568bddcb6dbd	4580	12	30500	4	17	6	6
a6eb4f8b-a32f-47bc-af0c-b85927cbac16	4580	12	30500	4	17	6	6
e59b8fad-5cf8-4875-89bc-e4c431635fcf	4580	12	30500	4	17	6	6
9383ce41-8907-48e6-b5a9-d9c7496d40e2	4580	12	30500	4	17	6	6
79a2c818-307c-498e-bcf7-1bb1194a03bf	4580	12	30500	4	17	6	6
43ae44d4-da31-45b7-85e4-d79352f7bdf8	4580	12	30500	4	17	6	6
12df4eb2-a17c-419f-88bf-cf8a02bab714	4580	12	30500	4	17	6	6
27dd037d-95a6-4aae-86a2-694ecb6532ac	4580	12	30500	4	17	6	6
cb185491-552d-45af-a89d-ae7ba1cc3310	4580	12	30500	4	17	6	6
836f5dc4-7fdb-4303-ba49-d76b7eb84f76	4580	12	30500	4	17	6	6
45ee758e-e499-40cc-9b54-d0f7a17f7391	4580	12	30500	4	17	6	6
d96767e4-d1ee-45a0-ae38-2b7994ec4c4a	4580	12	30500	4	17	6	6
66d81d8d-b60e-448a-a2b8-9c821986f3be	4580	12	30500	4	17	6	6
d5db5a56-18ef-49c5-b7c1-3ba336522095	4580	12	30500	4	17	6	6
45bb4cae-baf1-4edf-b5df-013c865aed3f	4580	12	30500	4	17	6	6
52ef1904-f368-4080-92ba-72a72f6ca086	4580	12	30500	4	17	6	6
e8be6812-a379-45ae-9eaf-ba66c3c77592	4580	12	30500	4	17	6	6
1d126881-0d9c-4740-a8df-ca8391d06dc7	4580	12	30500	4	17	6	6
1bfad114-8b24-4356-8171-1e34d5193261	4580	12	30500	4	17	6	6
0e97759e-41b7-4d32-b923-84d2c5caae1d	4580	12	30500	4	17	6	6
30ea6b16-5b9e-4361-9920-1681695ee57f	4580	12	30500	4	17	6	6
fb9b65ff-0d75-4ecd-be56-73512be3a3cb	4580	12	30500	4	17	6	6
3fffce31-b144-44fd-805b-5868107bde41	4580	12	30500	4	17	6	6
f91e5b0f-ae0a-4881-9dc4-63db74cd5d89	4580	12	30500	4	17	6	6
4027efde-b54e-487a-ae47-ac7c7e16d56c	4580	12	30500	4	17	6	6
5395d608-fa0a-467d-a7e7-7c2da19719f3	4580	12	30500	4	17	6	6
7af5c293-f340-43c3-8ed1-a310ef010274	4580	12	30500	4	17	6	6
c3768608-7f1e-4c50-b336-ab9bc692831d	4580	12	30500	4	17	6	6
ff43441c-e359-4b05-a810-220d4db8bc68	13087	24	262200	3	175	20	11
c602a34c-32d0-4a3c-a1ee-6bcba5473552	13087	24	262200	3	175	20	11
f6e9f264-c4c2-4b0c-9604-f4c1a2783777	13087	24	262200	3	175	20	11
d17eacf3-d164-4312-9aae-48f683250742	13087	24	262200	3	175	20	11
1b35fa4f-dc60-40fe-ac2c-e4ede8eb5646	13087	24	262200	3	175	20	11
54a4b7b2-ccc7-4e68-9fe4-c6e1d2079a21	13087	24	262200	3	175	20	11
c3b478cd-e879-442e-905b-06d659bb3ccc	13087	24	262200	3	175	20	11
b998d687-9fff-49d9-8ad5-d998000e2ca2	13087	24	262200	3	175	20	11
a846998b-c42b-4ebb-b2cb-44df7555161a	13087	24	262200	3	175	20	11
50aecbc8-a1fd-4180-9c9a-58c709084310	13087	24	262200	3	175	20	11
6e35554c-3b65-415c-8aa7-fb38178c8690	13087	24	262200	3	175	20	11
0b78d215-daa4-4ccd-8365-9d77a1954569	13087	24	262200	3	175	20	11
c03fae87-f92e-4693-a886-1621e4113e39	13087	24	262200	3	175	20	11
16813a67-f191-485d-9f1e-dcb8c68500b0	13087	24	262200	3	175	20	11
68d3fad7-8daa-4ed8-85bc-a6256b92c733	13087	24	262200	3	175	20	11
88b3360a-3402-403e-87d1-07032dab6475	13087	24	262200	3	175	20	11
f6d83fa2-600d-4210-a333-594942ac5c11	13087	24	262200	3	175	20	11
badb6ebc-e097-43d2-b2d6-1d2ab0569810	13087	24	262200	3	175	20	11
550f3b94-57c2-4847-95e9-1ecf989695dd	13087	24	262200	3	175	20	11
8474f7e4-2b01-4834-950b-f806725da763	13087	24	262200	3	175	20	11
080a4aaf-64ab-4a70-9bac-ce999625b6cf	13087	24	262200	3	175	20	11
09d9ffe0-f777-4d75-8deb-5b348efdbe08	13087	24	262200	3	175	20	11
7f81b340-7a24-4d29-b826-4986229caa3a	13087	24	262200	3	175	20	11
ff830334-d9a3-40c2-931f-c91a4e0f100e	13087	24	262200	3	175	20	11
cd32b6b9-f07e-465a-8b95-8190a2775082	13087	24	262200	3	175	20	11
0516c441-3435-449f-9c4c-8fd3046ba212	13087	24	262200	3	175	20	11
f004fb66-1fa6-45f5-99bb-06ed01466d32	13087	24	262200	3	175	20	11
435c112b-26da-4a3a-a28b-2c15da659c66	13087	24	262200	3	175	20	11
dbcab5ce-2973-40b0-8b08-33a3c7d4b7a6	13087	24	262200	3	175	20	11
68ac47bc-fb5d-4592-ab90-26f06989592f	13087	24	262200	3	175	20	11
401e7af7-c5d0-4b3b-b194-d5eeddc01bd8	13087	24	262200	3	175	20	11
3fe9a795-f485-4ac4-ae0b-81bd420c1851	13087	24	262200	3	175	20	11
df99a566-61e4-45ef-ad42-e07c9aba2c8b	13087	24	262200	3	175	20	11
e7f678e5-40b1-4618-9c08-46ece28a6fe6	13087	24	262200	3	175	20	11
9643c107-aa73-4c15-9fdb-1f989210fced	13087	24	262200	3	175	20	11
1da98114-489c-46ba-90f6-7f669afb95f4	13087	24	262200	3	175	20	11
df283397-248d-4349-bbe3-c95ff16fcc04	13087	24	262200	3	175	20	11
890a541c-0041-4b6d-8ea0-f82a508c06c3	13087	24	262200	3	175	20	11
44a298f9-ab4e-4384-b6fc-739e2985cc74	13087	24	262200	3	175	20	11
89d39695-ade7-4591-a1b6-2cb00df4c67c	13087	24	262200	3	175	20	11
9bc8e96a-ac59-478f-8a06-9a37d906df16	2	7	45	20	25	22	22
4220b816-28f5-4c41-a196-61d3eb0c9f4b	2	7	45	20	25	22	22
10f3c62b-8ad5-4ebc-aeb1-c9f07c770046	2	7	45	20	25	22	22
d334af1f-3a6b-4eb3-8c4b-12dc8d036860	2	7	45	20	25	22	22
a17d0a9f-009d-4cf4-abe5-6cd3c28c8cbc	2	7	45	20	25	22	22
b92f8fd1-2874-400e-8a35-90eb87d149be	2	7	45	20	25	22	22
0e0a5439-00dd-4647-8897-4e61b76be91e	2	7	45	20	25	22	22
a218af1d-1204-4e33-8eb2-22f3c6931b7c	2	7	45	20	25	22	22
bcd13017-9f65-4d13-a85d-27cfe47552d1	2	7	45	20	25	22	22
5ed50005-502a-4503-9fe6-0a4d6510fe1a	2	7	45	20	25	22	22
14909c1a-12d5-495d-8d43-76d299898846	2	7	45	20	25	22	22
a35ee50d-467e-4264-9de0-a6fc5514e121	2	7	45	20	25	22	22
e34bfce8-c350-48e2-828c-d82155f9b9db	2	7	45	20	25	22	22
84caeb6f-f390-42d4-a8fb-dd8223585ec6	2	7	45	20	25	22	22
d51d06af-2e2c-4b09-8c76-ab0a67759026	2	7	45	20	25	22	22
b32bf009-16f5-4cf5-9d2d-2bca21ba04a9	2	7	45	20	25	22	22
c01bb863-ea47-4c04-a856-ed0e0962cd1b	2	7	45	20	25	22	22
763798db-ac91-4b98-859e-a2be1c85d170	2	7	45	20	25	22	22
2ce64091-adea-4acd-b4ff-d324bcf75514	2	7	45	20	25	22	22
c026f03c-d713-4100-859c-7f60969b197b	2	7	45	20	25	22	22
36ad8dd2-1511-4add-83a4-0574cb6d33c2	2	7	45	20	25	22	22
6673a321-f8fa-4148-9d2d-5954bc588216	2	7	45	20	25	22	22
b9b7ee9a-b0c7-4d78-8779-7284eecbddb4	2	7	45	20	25	22	22
c705df37-0e9a-4fa5-ae15-4649fa50a529	2	7	45	20	25	22	22
7b0beed4-92d9-454b-ab01-df5a021cdfda	2	7	45	20	25	22	22
9498d78c-143f-4fd1-be36-d5744ded561b	2	7	45	20	25	22	22
aef164fa-acbb-4eeb-ab5a-d8df47cd918f	2	7	45	20	25	22	22
7189f66a-4868-40ca-87c5-088d89027138	2	7	45	20	25	22	22
8b07118d-32e8-4369-aa6d-d38cad1c0036	2	7	45	20	25	22	22
e289c3f2-5bc1-46fe-a532-c72024f6329d	2	7	45	20	25	22	22
72ce4ee3-44f2-41f8-8e65-83a3ccb8e56f	2	7	45	20	25	22	22
a0152198-3fdb-4c1f-af4e-b0aa01b8b024	2	7	45	20	25	22	22
e4bde6f7-d5d2-4fcf-9a2b-0181c979a8ec	2	7	45	20	25	22	22
37b12199-c78d-4ed4-9bc7-22a97a453ae0	2	7	45	20	25	22	22
bbdb726d-06a7-4f92-bba3-4e086309aac7	2	7	45	20	25	22	22
4c30611f-019f-44a9-8d0d-2129707feee8	2	7	45	20	25	22	22
c58ac749-200b-4844-bd25-82b5f87df8fe	2	7	45	20	25	22	22
bc722abf-c207-4496-bdf7-10b99ad1e980	2	7	45	20	25	22	22
f708d06f-23c0-4785-9035-0c454374564f	2	7	45	20	25	22	22
944a3faf-2743-44b6-819a-eedd03b56498	2	7	45	20	25	22	22
c17fa4ad-5cba-496c-848a-e01bb41a1ef4	251734	42	1595923	1	990	6	5
45d03509-4e7b-41f3-93d9-d239e62dd6df	1000	3	3000	3	3	3	3
979a7b4d-6713-44eb-80b9-47d96edac8f9	1000	3	3000	3	3	3	3
332ded59-7818-4ce7-9787-c11b87830ad0	1000	3	3000	3	3	3	3
1ed5a82f-30f1-4f66-9e69-ae00aa33fb4c	1000	3	3000	3	3	3	3
7aff5a15-2a92-41d8-b9fc-b64d7a81a6ba	1000	3	3000	3	3	3	3
db4fec76-e6de-4eaf-b2f9-33a6d34db01c	1000	3	3000	3	3	3	3
165b1a5a-eb19-4070-86df-ff3435952cae	1000	3	3000	3	3	3	3
d5f99706-399f-42b7-b5a8-d8e28580b22a	1000	3	3000	3	3	3	3
493add12-a6c9-4837-94c2-e22b86d2352b	1000	3	3000	3	3	3	3
09674362-f942-4231-9f02-aaabad54d805	1000	4	4000	4	4	4	4
84d8504a-d32c-4694-b8b7-8654be6897a6	100	13	1666	9	39	16	15
731d9f32-5d37-4d19-9396-65bb06c4cc86	100	13	1666	9	39	16	15
8779aa88-c725-4b6b-bf46-bb107a38c89d	100	13	1666	9	39	16	15
78b4ba67-3430-4f71-b5c6-2aec7de14069	100	13	1666	9	39	16	15
4ad8cc9a-db2d-48d4-8052-1a962e44bebd	100	13	1666	9	39	16	15
02feaa11-ad47-4fff-b2e1-c62c1ed41a43	100	13	1666	9	39	16	15
75722131-1bc1-4426-84c3-82b1a83f05f9	100	13	1666	9	39	16	15
2edda24d-ed0a-44f0-90c5-24161ce3ac14	2	6	8	4	4	4	4
e236908c-af98-4aab-ac9b-bddb725f0795	647	23	2763	2	28	4	3
b6453893-5d42-4bae-95bd-1240fecb5ebc	647	23	2763	2	28	4	3
f40158db-bc1b-4e01-b386-4a5512201f7e	647	23	2763	2	28	4	3
9eb47303-229f-4ede-8aad-ffdffcef7270	647	23	2763	2	28	4	3
96c11685-d628-428f-8815-43d5504dd2c6	647	23	2763	2	28	4	3
b16960b1-80ea-4223-8515-fadb6557cec9	647	23	2763	2	28	4	3
bf2eca42-6710-430e-9f23-8fb79f6c2166	647	23	2763	2	28	4	3
61f593f1-1c5b-4bc0-96a6-ac20c4f52fbb	647	23	2763	2	28	4	3
f41d1ce6-9377-4a28-b8db-876d83d8906d	647	23	2763	2	28	4	3
3c0c6e43-c4b3-4271-bb4a-1789476c8592	647	14	2763	2	28	4	3
5e309850-fd12-4f7e-a78e-2adfa5fdb678	647	14	2763	2	28	4	3
038fad41-d383-4a08-a952-11a611b17424	647	14	2763	2	28	4	3
6c63ef39-d5fb-4758-bd02-e7d02dff70d2	647	14	2763	2	28	4	3
c4c75829-a7d3-482f-87da-61f12e8b57cf	647	23	2763	2	28	4	3
06521c0f-9a1d-4015-bd87-e813ce3d9b9e	647	23	2763	2	28	4	3
30b64333-318c-4020-befb-66eda2283399	647	23	2763	2	28	4	3
abc1c4ed-7bfe-444a-9293-3738ecc02d26	647	23	2763	2	28	4	3
e61a41b7-aa02-41e7-9973-e3301a2bde74	647	23	2763	2	28	4	3
6ddc091a-6805-417d-98d1-ea4e5f25f830	647	23	2763	2	28	4	3
2562d0a0-aa51-49eb-aac6-c865a034e2ca	647	23	2763	2	28	4	3
7913a7a0-e9ce-405a-a7e4-390cd935a77c	647	23	2763	2	28	4	3
31d0f60e-c846-4138-9eac-0c400f0306f0	647	23	2763	2	28	4	3
d4ef3572-ebb1-48b0-8267-0cfab76b483e	647	23	2763	2	28	4	3
f0042467-a1b2-4add-9b6c-9315792dd6d1	647	14	2763	2	28	4	3
96ffa2d4-8bfe-419d-82fc-c8d711e815fb	647	14	2763	2	28	4	3
56ba9672-3128-45fd-9d9f-f5fe1c5f1659	647	14	2763	2	28	4	3
1392f407-0563-439a-bb83-688562dc89b9	647	14	2763	2	28	4	3
0e0ade0f-0327-40c7-bbe5-f5269015f632	4580	10	21340	2	15	4	4
76e60638-9202-4ae8-86b2-3dd75037c1bf	647	14	2763	2	28	4	3
fc1db53f-d87f-4a76-8fb4-b976f3f678be	647	14	2763	2	28	4	3
084ec0c1-943c-4d5e-9c4c-8b173fc9c707	647	14	2763	2	28	4	3
9552a5d4-7c34-4761-af72-63dad614ad75	647	14	2763	2	28	4	3
4a333e63-71fd-45df-8837-76f3fff22b45	647	14	2763	2	28	4	3
503f929f-566d-475e-be0a-283e16417904	647	14	2763	2	28	4	3
08ecfa15-199a-4ae8-9a65-28d03ccb26f6	647	14	2763	2	28	4	3
9dbde6bd-1ce5-4b83-a96d-3f9f1facbc35	647	14	2763	2	28	4	3
abc3caa3-f67f-4f5a-a22c-c0ce4529e496	647	14	2763	2	28	4	3
7e0dd165-9c79-4542-bf0a-b0d9478a24fe	647	14	2763	2	28	4	3
5738a5e4-5064-42b4-baf1-86edd934ffbf	647	14	2763	2	28	4	3
f36a0428-5734-4331-b6f5-73d24a355da2	647	14	2763	2	28	4	3
e6fc9ac5-cd5c-48ab-b71e-6c1442f2fa95	647	14	2763	2	28	4	3
